reliability_class,reliability_class_label,reliability_score
1,LOW,84.35295768885709
1,LOW,76.56599856365109
0,HIGH,99.93360050710427
1,LOW,36.85791132503298
2,MEDIUM,86.48387569329815
1,LOW,45.19101158345478
1,LOW,68.80524787060153
1,LOW,17.43979611365349
0,HIGH,99.73688080319415
1,LOW,36.61245135479382
1,LOW,13.16428013153438
2,MEDIUM,87.05014840264117
1,LOW,17.71523998613197
1,LOW,15.83438349555822
1,LOW,12.163904604631762
0,HIGH,98.08543913400854
1,LOW,61.65503831080756
2,MEDIUM,92.4106486949178
2,MEDIUM,89.61631821966492
1,LOW,29.633436441665324
2,MEDIUM,92.63241073584872
0,HIGH,99.47226569073992
2,MEDIUM,92.49332688891216
2,MEDIUM,91.70120643671244
1,LOW,73.11942098210983
0,HIGH,97.73346096633333
1,LOW,81.27868102736771
2,MEDIUM,87.61003158971388
1,LOW,82.12250857142283
1,LOW,79.72606801936892
1,LOW,82.5097761895982
1,LOW,75.22377655079325
2,MEDIUM,86.29290420272615
0,HIGH,97.84768703249097
1,LOW,56.012080418066965
0,HIGH,95.71148170837432
2,MEDIUM,85.18797685416959
1,LOW,77.86627237290806
2,MEDIUM,94.33593146372272
1,LOW,9.707194885439051
0,HIGH,98.7970440169302
0,HIGH,99.8353262152736
0,HIGH,99.1670605145921
1,LOW,5.844328569724691
1,LOW,65.41663558451813
2,MEDIUM,94.27425131535226
1,LOW,6.306243512193451
0,HIGH,98.20668117602791
1,LOW,58.75700725101157
1,LOW,5.649506120498829
1,LOW,9.182848169510036
1,LOW,6.275811279019266
2,MEDIUM,93.74883965458665
2,MEDIUM,86.37932272128849
2,MEDIUM,93.67726063712608
1,LOW,43.34897900012346
1,LOW,73.33410749097608
0,HIGH,98.06694415718796
1,LOW,53.56509779990113
0,HIGH,99.0674029211103
2,MEDIUM,90.23168554924428
1,LOW,44.871788112689806
2,MEDIUM,90.91789654823866
2,MEDIUM,85.3064408292879
1,LOW,52.76682012923442
1,LOW,84.40492141808124
0,HIGH,98.38591439323356
0,HIGH,98.6337961919701
0,HIGH,97.93724905059418
1,LOW,74.79491981561046
0,HIGH,97.65303514745708
1,LOW,70.11182076423492
1,LOW,9.84117484073919
0,HIGH,96.71733866881908
2,MEDIUM,93.87694838586754
1,LOW,62.07375863937985
2,MEDIUM,90.3061462916992
1,LOW,67.8154159021129
0,HIGH,95.03762993726984
2,MEDIUM,85.82967468416274
2,MEDIUM,93.23333492796306
1,LOW,75.77151695762394
1,LOW,72.89117442131172
1,LOW,50.32872798743353
1,LOW,8.327501340553985
1,LOW,77.24545772407792
0,HIGH,98.65246413965298
1,LOW,37.72870533302945
1,LOW,16.061862979918402
1,LOW,80.44686843887516
0,HIGH,99.86271582369528
2,MEDIUM,92.01707287859462
1,LOW,67.13046140876394
1,LOW,80.24545156940773
1,LOW,44.07261873869794
1,LOW,84.214861542368
2,MEDIUM,94.7118007360597
0,HIGH,99.3778860940084
1,LOW,67.37103083194448
1,LOW,65.26385836194156
1,LOW,36.42270966289118
2,MEDIUM,94.7951639719094
2,MEDIUM,86.87579636194549
1,LOW,78.4367893047558
2,MEDIUM,89.3882321417924
0,HIGH,96.97045633317308
1,LOW,19.876622691494056
1,LOW,17.637554491784464
2,MEDIUM,90.13671875
1,LOW,81.42635315740185
1,LOW,67.89543999218127
0,HIGH,96.77909312467648
2,MEDIUM,89.65682964769609
1,LOW,6.703589523638878
2,MEDIUM,94.8547933028065
1,LOW,75.03253899954021
1,LOW,65.40731710036337
2,MEDIUM,91.72331894564772
1,LOW,82.36484043621334
1,LOW,18.14425220304856
1,LOW,84.22896930046817
1,LOW,77.70442193039771
1,LOW,58.72900202974493
1,LOW,49.13220413037893
1,LOW,7.187827456386092
0,HIGH,95.05986120424105
2,MEDIUM,85.06250223237662
0,HIGH,99.1968157439647
2,MEDIUM,88.17902267663925
1,LOW,16.62771721200212
1,LOW,75.91883024174263
2,MEDIUM,94.2738228120687
1,LOW,39.0626506603086
2,MEDIUM,91.4918078180848
0,HIGH,96.87511611802088
1,LOW,79.56606161679173
1,LOW,48.49472944090979
0,HIGH,98.55372083449396
1,LOW,79.64894193656187
1,LOW,15.043816930585384
1,LOW,81.4797647096846
1,LOW,19.307564529864745
1,LOW,55.7443864419921
2,MEDIUM,92.80481432151343
0,HIGH,98.70209344215256
0,HIGH,99.72371307572178
1,LOW,17.093713478955507
2,MEDIUM,93.46276234953936
1,LOW,70.26789362336811
2,MEDIUM,94.73513789359022
2,MEDIUM,89.01633874286348
1,LOW,24.53970927984564
0,HIGH,99.45423249837668
0,HIGH,98.98660563515726
0,HIGH,95.79347016573128
2,MEDIUM,92.52307987601937
1,LOW,70.16205559156042
2,MEDIUM,90.1898401005262
0,HIGH,98.40190909915232
1,LOW,81.8940586467814
0,HIGH,95.22993518146124
0,HIGH,99.91860693319248
0,HIGH,96.47196121277368
1,LOW,55.69415772847171
0,HIGH,98.5189986033437
0,HIGH,99.92980046594684
0,HIGH,99.83261993881554
0,HIGH,95.3820338432137
1,LOW,72.62642254039565
0,HIGH,98.2434681503548
0,HIGH,96.46018760035156
1,LOW,74.64610267743991
2,MEDIUM,90.44558575032488
1,LOW,17.690296583899233
0,HIGH,99.0436125212685
0,HIGH,97.34246519508966
0,HIGH,96.63089501961754
1,LOW,31.50438721060249
0,HIGH,99.83373633624664
0,HIGH,97.79120197121516
2,MEDIUM,85.96224316623542
1,LOW,71.69882926579193
0,HIGH,96.99485111592868
2,MEDIUM,94.04296875
1,LOW,70.27458914645597
1,LOW,73.45807306764158
1,LOW,42.26576839701167
2,MEDIUM,94.57841537932518
2,MEDIUM,89.64251174739809
2,MEDIUM,93.18676733291086
1,LOW,37.296788903542144
1,LOW,14.23429015352131
2,MEDIUM,89.17949238459467
2,MEDIUM,93.67355319551328
0,HIGH,99.62655063255951
2,MEDIUM,91.75460880719872
1,LOW,19.94491203781107
1,LOW,80.27931383872712
1,LOW,57.09039385179943
0,HIGH,99.19106408313765
